Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Months Code,Months,Unit,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022,Y2023
"3","'008","Albania","23013","Consumer Prices, Food Indices (2015 = 100)","6125","Value","7012","December","Index","61.794412","63.528078","67.484039","70.160130","70.160130","69.811074","70.509185","75.628664","78.304755","83.656937","87.413787","88.479422","91.630257","94.819159","95.170131","100.015575","104.588507","107.546340","110.611106","113.459983","116.351791","123.749351","141.286120",
"3","'008","Albania","23012","Consumer Prices, General Indices (2015 = 100)","6125","Value","7001","January","Index","67.565158","69.058479","73.507966","73.477490","75.885089","78.384116","79.481250","81.736469","84.205020","86.003101","89.111647","92.585904","94.018273","96.578252","98.163001","99.382038","100.844883","103.709622","105.507702","107.549590","109.103863","109.561002","113.644778","121.854191"
"3","'008","Albania","23012","Consumer Prices, General Indices (2015 = 100)","6125","Value","7002","February","Index","67.138494","68.113724","73.325110","74.147960","77.378410","78.719351","79.786009","82.132657","85.058347","86.612620","90.483064","94.719220","95.267786","97.614434","99.503942","101.759162","101.972493","104.227713","106.361028","108.189585","109.500050","110.749564","115.077147","123.211216"
"3","'008","Albania","23012","Consumer Prices, General Indices (2015 = 100)","6125","Value","7003","March","Index","66.407072","68.327056","73.447014","74.452720","77.439362","78.719351","79.907913","82.041229","85.850721","87.161187","90.544016","94.627792","95.603022","97.888717","99.991557","102.185825","102.429632","104.623900","106.665788","107.854349","110.109569","111.480986","117.819982","124.073554"
"3","'008","Albania","23012","Consumer Prices, General Indices (2015 = 100)","6125","Value","7004","April","Index","66.864211","68.906099","73.386062","75.092715","77.469838","78.506020","80.365052","81.858373","85.515486","87.100235","90.147829","94.048749","95.572546","97.736338","99.382038","101.667734","102.002969","103.983905","106.147697","107.580066","109.652430","111.755270","118.672363","124.104604"
"3","'008","Albania","23012","Consumer Prices, General Indices (2015 = 100)","6125","Value","7005","May","Index","67.321350","69.028003","72.197500","74.239388","76.159372","77.652694","80.090769","81.218378","84.662160","86.429764","90.544016","93.043043","94.841123","96.791583","98.284904","100.052509","100.753456","102.734392","104.898183","106.513408","108.738152","110.749564","118.124392","123.718555"
"3","'008","Albania","23012","Consumer Prices, General Indices (2015 = 100)","6125","Value","7006","June","Index","65.919457","68.570864","71.130842","72.989875","75.062239","77.256506","79.115539","80.700287","83.961213","85.911673","88.624032","92.037337","94.048749","96.212541","97.644910","98.985851","100.143937","102.368680","104.837231","106.208649","108.128633","109.835285","117.952157","123.290555"
"3","'008","Albania","23012","Consumer Prices, General Indices (2015 = 100)","6125","Value","7007","July","Index","64.151852","67.748013","70.643227","72.715591","74.940335","76.342228","78.810779","80.426004","83.443122","85.302154","88.166893","91.366866","93.865893","95.420166","97.096343","98.315380","100.204889","102.246777","104.562948","106.086745","107.549590","109.957189","118.212766",
"3","'008","Albania","23012","Consumer Prices, General Indices (2015 = 100)","6125","Value","7008","August","Index","64.426136","67.077543","70.734655","72.837495","74.787955","76.494608","78.658400","81.949801","83.991689","85.850721","88.867839","91.610674","94.231605","95.328738","97.187771","99.077279","101.058215","102.642964","104.928659","106.452456","107.793398","110.383852","119.160538",
"3","'008","Albania","23012","Consumer Prices, General Indices (2015 = 100)","6125","Value","7009","September","Index","65.492794","67.808965","71.405126","73.355586","74.818431","77.165078","79.146015","82.650748","84.875491","86.521192","89.507834","92.006861","94.414460","96.060161","97.492530","99.656322","101.423926","103.039151","105.172467","106.543884","108.189585","110.901943","119.888673",
